Designator,Mid X,Mid Y,Layer,Rotation
P1,33.382,4.564,TopLayer,90
P1,26.016,4.564,TopLayer,90
P1,18.65,4.564,TopLayer,90
P1,11.284,4.564,TopLayer,90
P1,3.918,4.564,TopLayer,90
P1,33.382,14.089,TopLayer,90
P1,26.016,14.089,TopLayer,90
P1,18.65,14.089,TopLayer,90
P1,11.284,14.089,TopLayer,90
P1,3.918,14.089,TopLayer,90
C1,32.004,9.906,TopLayer,360
C1,24.638,9.906,TopLayer,360
C1,17.272,9.906,TopLayer,360
C1,9.906,9.906,TopLayer,360
C1,2.54,9.906,TopLayer,360
C1,32.004,19.431,TopLayer,360
C1,24.638,19.431,TopLayer,360
C1,17.272,19.431,TopLayer,360
C1,9.906,19.431,TopLayer,360
C1,2.54,19.431,TopLayer,360
R1,33.9945,10.5234,TopLayer,270
R2,35.8902,10.5234,TopLayer,90
R1,26.6285,10.5234,TopLayer,270
R2,28.5242,10.5234,TopLayer,90
R1,19.2625,10.5234,TopLayer,270
R2,21.1582,10.5234,TopLayer,90
R1,11.8965,10.5234,TopLayer,270
R2,13.7922,10.5234,TopLayer,90
R1,4.5305,10.5234,TopLayer,270
R2,6.4262,10.5234,TopLayer,90
R1,33.9945,20.0484,TopLayer,270
R2,35.8902,20.0484,TopLayer,90
R1,26.6285,20.0484,TopLayer,270
R2,28.5242,20.0484,TopLayer,90
R1,19.2625,20.0484,TopLayer,270
R2,21.1582,20.0484,TopLayer,90
R1,11.8965,20.0484,TopLayer,270
R2,13.7922,20.0484,TopLayer,90
R1,4.5305,20.0484,TopLayer,270
R2,6.4262,20.0484,TopLayer,90
C2,32.004,11.557,TopLayer,360
C2,24.638,11.557,TopLayer,360
C2,17.272,11.557,TopLayer,360
C2,9.906,11.557,TopLayer,360
C2,2.54,11.557,TopLayer,360
C2,32.004,21.082,TopLayer,360
C2,24.638,21.082,TopLayer,360
C2,17.272,21.082,TopLayer,360
C2,9.906,21.082,TopLayer,360
C2,2.54,21.082,TopLayer,360
U1,33.147,7.62,TopLayer,360
U1,25.781,7.62,TopLayer,360
U1,18.415,7.62,TopLayer,360
U1,11.049,7.62,TopLayer,360
U1,3.683,7.62,TopLayer,360
U1,33.147,17.145,TopLayer,360
U1,25.781,17.145,TopLayer,360
U1,18.415,17.145,TopLayer,360
U1,11.049,17.145,TopLayer,360
U1,3.683,17.145,TopLayer,360
