Designator,Mid X,Mid Y,Layer,Rotation
P12,94.3864,78.232,TopLayer,90
P11,97.0026,78.232,TopLayer,90
P10,97.0534,75.2856,TopLayer,90
P9,94.3913,76.7619,TopLayer,0
P8,97.0026,76.7334,TopLayer,0
P7,94.3913,75.2751,TopLayer,0
P2,85.977,87.4599,TopLayer,285
P5,102.0453,82.0014,TopLayer,180
P4,99.3007,87.4507,TopLayer,255
P3,92.619,86.7037,TopLayer,270
P1,83.1461,81.951,TopLayer,0
P6,88.0872,81.9046,TopLayer,0
J1,88.7116,77.0602,BottomLayer,180
R2,91.8718,81.2038,BottomLayer,180
R1,89.027,81.2038,BottomLayer,0
